incident_id,detected_at,asset_id,user_id,threat_actor_id,attack_vector,severity,status,mttr_hours,time_to_detect_hours,time_to_contain_hours,cost_usd,data_sensitivity,detection_source,alert_count,cvss_like,mitre_tactic,mitre_technique,severity_score,risk_score,mttr_bucket,date,hour
1,2023-08-19 13:27:00,207,551,20,Exploitation,Medium,In Progress,19,10,2,3352.12,Unknown,Ids,3,6.0,Exfiltration,T1190,2,4.436,4-24h,2023-08-19,13
2,2024-08-04 01:59:00,72,158,22,Credential Stuffing,Medium,Open,9,2,16,1562.22,Internal,Email Gateway,4,7.6,Impact,T1547,2,5.665,4-24h,2024-08-04,1
3,2025-07-24 19:36:00,201,391,14,Exploitation,Low,Closed,7,4,6,760.95,Internal,User Report,3,10.0,Execution,T1055,1,2.773,4-24h,2025-07-24,19
4,2024-01-31 06:30:00,56,337,37,Phishing,Low,In Progress,22,3,7,2218.37,Public,User Report,2,7.7,Impact,T1041,1,1.945,4-24h,2024-01-31,6
5,2023-04-06 05:06:00,284,182,3,Ransomware,Low,Open,28,4,15,3494.19,Restricted,Waf,6,8.4,Exfiltration,T1003,1,3.58,1-3d,2023-04-06,5
6,2023-01-28 05:12:00,36,396,19,Exploitation,Low,Closed,15,7,5,1935.59,Internal,Siem,5,7.1,Privilege Escalation,T1041,1,3.064,4-24h,2023-01-28,5
7,2024-11-06 16:04:00,233,59,24,Phishing,Medium,Closed,36,2,4,3219.18,Public,Email Gateway,2,8.2,Initial Access,T1059,2,3.999,1-3d,2024-11-06,16
8,2023-12-01 13:25:00,81,114,9,Phishing,High,In Progress,7,16,3,1884.14,Public,Email Gateway,5,5.9,Lateral Movement,T1003,3,8.547,4-24h,2023-12-01,13
9,2025-01-30 02:24:00,106,134,14,Ddos,Medium,Closed,8,1,1,2565.67,Confidential,Ids,5,8.1,Lateral Movement,T1565,2,6.486,4-24h,2025-01-30,2
10,2024-05-01 05:38:00,295,318,38,Exploitation,Low,Closed,7,10,1,2234.96,Confidential,Siem,5,5.8,Command And Control,T1565,1,2.831,4-24h,2024-05-01,5
11,2024-04-14 08:12:00,4,147,29,Phishing,Low,In Progress,3,8,6,4989.28,Public,Edr,1,4.9,Lateral Movement,T1547,1,1.033,<4h,2024-04-14,8
12,2025-04-06 07:33:00,169,583,32,Malware,Low,In Progress,2,27,7,1207.83,Internal,User Report,4,5.2,Collection,T1547,1,2.446,<4h,2025-04-06,7
13,2023-02-10 23:05:00,148,468,23,Malware,Medium,Closed,17,10,6,1094.34,Confidential,Waf,2,4.5,Defense Evasion,T1021,2,3.186,4-24h,2023-02-10,23
14,2024-09-19 05:26:00,128,184,40,Insider,Low,Closed,9,2,8,1235.83,Internal,Waf,1,6.9,Lateral Movement,T1003,1,1.171,4-24h,2024-09-19,5
15,2024-01-29 21:11:00,292,98,26,Phishing,Low,In Progress,47,2,14,3493.72,Public,Waf,6,6.0,Initial Access,T1078,1,3.113,1-3d,2024-01-29,21
16,2025-06-25 05:17:00,276,299,43,Ddos,High,Open,23,4,11,7949.76,Restricted,Edr,1,5.5,Privilege Escalation,T1003,3,3.223,4-24h,2025-06-25,5
17,2024-02-26 17:07:00,189,79,49,Phishing,Medium,Open,10,5,6,380.52,Internal,Edr,5,3.7,Command And Control,T1210,2,4.909,4-24h,2024-02-26,17
18,2024-02-24 14:10:00,130,213,33,Insider,Medium,Closed,2,16,5,2803.04,Internal,Edr,1,4.0,Collection,T1190,2,1.941,<4h,2024-02-24,14
19,2023-03-16 20:44:00,237,391,22,Phishing,High,Closed,4,5,7,8823.28,Confidential,Waf,3,9.6,Lateral Movement,T1078,3,8.151,<4h,2023-03-16,20
20,2024-02-11 01:00:00,129,118,46,Unknown,Low,Closed,12,6,7,2582.82,Confidential,Siem,4,9.7,Discovery,T1565,1,3.171,4-24h,2024-02-11,1
21,2025-02-05 14:31:00,237,70,6,Insider,Low,Closed,4,2,3,125.23,Restricted,Email Gateway,2,4.5,Impact,T1078,1,1.593,<4h,2025-02-05,14
22,2024-12-31 14:08:00,242,286,11,Exploitation,Medium,Closed,24,3,10,1696.62,Confidential,Siem,2,6.4,Initial Access,T1547,2,3.603,4-24h,2024-12-31,14
23,2023-04-13 05:18:00,64,548,48,Malware,Low,Closed,2,7,11,2574.36,Confidential,User Report,1,4.4,Persistence,T1566,1,0.998,<4h,2023-04-13,5
24,2024-11-18 00:43:00,140,158,29,Ransomware,Low,Closed,23,3,8,1690.69,Internal,Ids,7,5.9,Persistence,T1078,1,3.306,4-24h,2024-11-18,0
25,2025-01-01 01:57:00,273,222,29,Phishing,Low,Closed,18,2,7,2131.45,Internal,Unknown,1,4.3,Initial Access,T1565,1,0.991,4-24h,2025-01-01,1
26,2025-04-10 16:41:00,53,400,45,Insider,Medium,In Progress,6,6,14,902.61,Public,Ids,3,8.0,Collection,T1190,2,4.991,4-24h,2025-04-10,16
27,2024-09-04 00:03:00,194,207,16,Ddos,Medium,Closed,36,10,7,3590.18,Restricted,Ids,4,8.0,Privilege Escalation,T1078,2,5.794,1-3d,2024-09-04,0
28,2023-04-04 00:26:00,15,15,22,Exploitation,Medium,Closed,8,1,6,2751.02,Internal,Siem,1,8.4,Impact,T1565,2,2.551,4-24h,2023-04-04,0
29,2023-03-06 07:56:00,50,172,47,Phishing,Medium,Closed,11,4,6,1053.55,Confidential,Siem,2,9.2,Initial Access,T1021,2,4.219,4-24h,2023-03-06,7
30,2024-06-08 03:52:00,168,331,36,Ransomware,Medium,Closed,28,19,4,2546.16,Confidential,Waf,6,9.4,Privilege Escalation,T1547,2,7.55,1-3d,2024-06-08,3
31,2023-08-01 17:25:00,220,124,15,Ddos,Low,Open,8,8,2,3725.81,Public,Siem,1,8.5,Execution,T1210,1,1.282,4-24h,2023-08-01,17
32,2023-11-28 05:00:00,206,324,1,Ddos,Medium,Closed,9,6,4,2759.06,Internal,User Report,2,4.7,Privilege Escalation,T1003,2,3.23,4-24h,2023-11-28,5
33,2023-08-14 02:42:00,143,378,3,Phishing,Medium,Closed,7,6,4,1107.07,Confidential,Unknown,3,6.1,Privilege Escalation,T1021,2,4.464,4-24h,2023-08-14,2
34,2023-11-05 19:31:00,53,550,37,Phishing,Low,Closed,2,4,5,1904.43,Confidential,Siem,2,5.5,Defense Evasion,T1566,1,1.703,<4h,2023-11-05,19
35,2024-09-06 10:40:00,199,137,22,Ransomware,Low,In Progress,22,2,4,2164.13,Confidential,Unknown,1,2.3,Impact,T1210,1,0.853,4-24h,2024-09-06,10
36,2025-05-21 21:30:00,35,344,2,Malware,High,Closed,6,5,3,4399.2,Internal,Email Gateway,1,4.3,Exfiltration,T1003,3,2.974,4-24h,2025-05-21,21
37,2024-01-27 16:40:00,120,516,38,Exploitation,Medium,Closed,2,0,8,4782.32,Confidential,Waf,6,6.4,Initial Access,T1078,2,6.383,<4h,2024-01-27,16
38,2023-01-22 19:48:00,64,317,16,Phishing,Medium,Closed,2,11,5,953.76,Internal,Waf,2,8.8,Lateral Movement,T1078,2,4.131,<4h,2023-01-22,19
39,2024-09-26 02:03:00,71,384,32,Phishing,Critical,Closed,9,2,4,13738.7,Unknown,Ids,3,3.7,Privilege Escalation,T1059,4,7.597,4-24h,2024-09-26,2
40,2024-01-20 06:41:00,20,244,47,Ransomware,Low,In Progress,9,6,4,709.73,Internal,Email Gateway,2,7.0,Collection,T1210,1,1.868,4-24h,2024-01-20,6
41,2023-05-18 08:20:00,21,534,27,Exploitation,High,In Progress,4,6,3,5725.44,Confidential,Waf,2,7.2,Defense Evasion,T1190,3,5.669,<4h,2023-05-18,8
42,2023-08-23 23:21:00,176,249,14,Phishing,High,Closed,9,4,2,2875.76,Restricted,Email Gateway,1,4.5,Initial Access,T1565,3,3.015,4-24h,2023-08-23,23
43,2023-09-12 21:44:00,114,391,34,Phishing,Low,Closed,9,4,1,2741.4,Public,Ids,5,5.7,Persistence,T1003,1,2.813,4-24h,2023-09-12,21
44,2024-10-06 00:04:00,252,72,13,Ransomware,Low,Closed,10,5,1,1542.56,Internal,Edr,1,8.5,Impact,T1059,1,1.282,4-24h,2024-10-06,0
45,2025-08-18 06:08:00,47,178,38,Malware,Medium,In Progress,5,6,5,651.53,Public,Email Gateway,2,4.7,Privilege Escalation,T1078,2,3.23,4-24h,2025-08-18,6
46,2024-06-03 02:27:00,240,319,11,Phishing,High,Open,4,13,4,76.18,Confidential,Waf,3,8.2,Privilege Escalation,T1078,3,7.569,<4h,2024-06-03,2
47,2024-03-10 05:38:00,128,311,19,Phishing,High,Open,25,5,3,1818.78,Restricted,Email Gateway,5,7.2,Collection,T1565,3,9.245,1-3d,2024-03-10,5
48,2023-07-26 08:55:00,247,82,24,Malware,Low,Closed,11,9,11,292.04,Internal,User Report,4,6.0,Lateral Movement,T1059,1,2.575,4-24h,2023-07-26,8
49,2024-04-27 14:27:00,259,444,49,Malware,High,In Progress,9,2,6,8964.54,Internal,Siem,7,4.4,Collection,T1190,3,8.983,4-24h,2024-04-27,14
50,2025-02-19 12:27:00,43,308,39,Exploitation,High,In Progress,29,10,3,990.9,Internal,Email Gateway,2,5.4,Persistence,T1055,3,5.076,1-3d,2025-02-19,12
51,2025-01-14 05:16:00,195,475,20,Credential Stuffing,Medium,Closed,7,1,9,1749.6,Public,User Report,3,8.4,Defense Evasion,T1021,2,5.102,4-24h,2025-01-14,5
52,2024-07-29 19:30:00,37,342,9,Malware,High,Closed,20,18,9,3619.54,Public,Waf,3,4.4,Collection,T1078,3,5.989,4-24h,2024-07-29,19
53,2023-06-08 06:00:00,7,513,47,Malware,Low,Open,8,3,7,5661.53,Public,Waf,5,6.4,Discovery,T1003,1,2.938,4-24h,2023-06-08,6
54,2024-02-19 13:25:00,192,394,32,Unknown,Low,Closed,10,5,5,2613.11,Internal,Ids,5,3.6,Impact,T1547,1,2.437,4-24h,2024-02-19,13
55,2023-03-14 13:56:00,20,128,25,Credential Stuffing,High,Closed,3,3,5,405.48,Confidential,Email Gateway,4,2.4,Persistence,T1078,3,5.987,<4h,2023-03-14,13
56,2025-02-20 13:16:00,179,522,46,Phishing,Low,Closed,5,5,7,1446.34,Internal,User Report,4,5.4,Impact,T1210,1,2.479,4-24h,2025-02-20,13
57,2024-12-14 01:41:00,198,435,48,Malware,Medium,Open,9,2,6,2474.83,Internal,Siem,5,5.5,Privilege Escalation,T1003,2,5.554,4-24h,2024-12-14,1
58,2023-02-05 11:40:00,15,152,17,Malware,Medium,Open,5,11,13,904.3,Public,Email Gateway,1,5.6,Collection,T1565,2,2.163,4-24h,2023-02-05,11
59,2023-05-31 08:15:00,297,166,1,Exploitation,Low,Closed,8,10,6,1652.7,Restricted,Edr,6,6.9,Execution,T1565,1,3.289,4-24h,2023-05-31,8
60,2024-12-29 12:25:00,42,531,13,Insider,Medium,Open,27,8,8,1803.76,Confidential,User Report,3,9.3,Persistence,T1021,2,5.351,1-3d,2024-12-29,12
61,2023-09-16 22:19:00,257,546,43,Malware,Medium,Open,1,5,2,3019.42,Internal,User Report,1,9.8,Exfiltration,T1041,2,2.745,<4h,2023-09-16,22
62,2025-01-21 13:48:00,46,112,41,Exploitation,Medium,In Progress,4,12,4,4798.96,Confidential,Email Gateway,2,8.9,Discovery,T1059,2,4.153,<4h,2025-01-21,13
63,2023-10-03 23:13:00,204,316,1,Phishing,Low,In Progress,10,1,3,933.72,Internal,Siem,3,8.8,Collection,T1190,1,2.606,4-24h,2023-10-03,23
64,2023-04-10 02:49:00,214,538,27,Exploitation,Low,Closed,27,6,4,312.19,Public,Waf,2,6.3,Defense Evasion,T1021,1,1.791,1-3d,2023-04-10,2
65,2023-06-24 05:23:00,96,138,13,Ransomware,Low,Closed,4,10,6,492.31,Restricted,User Report,3,6.0,Persistence,T1055,1,2.218,<4h,2023-06-24,5
66,2023-04-23 14:36:00,109,191,13,Unknown,Low,Closed,13,11,5,84.75,Confidential,Edr,2,4.9,Persistence,T1078,1,1.637,4-24h,2023-04-23,14
67,2023-09-23 13:28:00,56,171,6,Malware,High,Closed,1,3,3,3525.1,Public,Ids,4,4.7,Execution,T1021,3,7.098,<4h,2023-09-23,13
68,2023-05-08 08:04:00,176,31,38,Phishing,Medium,In Progress,2,14,3,1134.26,Confidential,Siem,3,8.2,Collection,T1003,2,5.046,<4h,2023-05-08,8
69,2024-11-19 03:00:00,32,273,49,Ransomware,Medium,In Progress,11,9,4,3864.71,Confidential,Edr,3,7.8,Impact,T1547,2,4.935,4-24h,2024-11-19,3
70,2025-03-19 01:06:00,109,535,1,Insider,High,Closed,18,4,2,3140.16,Internal,User Report,6,2.4,Exfiltration,T1055,3,7.239,4-24h,2025-03-19,1
71,2025-02-18 08:59:00,249,485,49,Exploitation,Low,Closed,3,3,3,3160.38,Public,Ids,4,8.5,Exfiltration,T1021,1,2.977,<4h,2025-02-18,8
72,2023-12-11 11:43:00,176,323,16,Phishing,Medium,In Progress,28,1,18,29.39,Confidential,Ids,3,8.1,Impact,T1021,2,5.018,1-3d,2023-12-11,11
73,2024-01-23 19:03:00,183,339,7,Unknown,Low,Closed,17,6,5,2729.73,Internal,Edr,1,6.1,Collection,T1021,1,1.116,4-24h,2024-01-23,19
74,2025-01-12 04:01:00,63,544,18,Ransomware,Medium,In Progress,5,13,1,3514.89,Restricted,Waf,1,3.7,Privilege Escalation,T1210,2,1.899,4-24h,2025-01-12,4
75,2024-04-07 19:43:00,244,528,27,Exploitation,Medium,In Progress,3,4,6,95.63,Restricted,Waf,2,7.0,Privilege Escalation,T1190,2,3.735,<4h,2024-04-07,19
76,2024-10-15 10:01:00,185,47,48,Exploitation,High,Closed,1,7,11,2537.38,Public,Ids,2,7.1,Impact,T1003,3,5.636,<4h,2024-10-15,10
77,2023-08-28 19:31:00,205,84,23,Phishing,Medium,Open,18,2,1,2917.44,Public,User Report,4,8.4,Collection,T1565,2,5.923,4-24h,2023-08-28,19
78,2025-05-27 22:57:00,52,395,19,Ransomware,Low,In Progress,13,2,13,1549.72,Confidential,Email Gateway,3,5.8,Privilege Escalation,T1059,1,2.19,4-24h,2025-05-27,22
79,2025-06-09 16:56:00,293,517,3,Malware,Medium,In Progress,2,14,4,1076.67,Public,Siem,3,9.3,Collection,T1566,2,5.351,<4h,2025-06-09,16
80,2023-11-05 21:35:00,240,173,29,Exploitation,Medium,Closed,9,16,3,84.6,Confidential,Edr,3,5.6,Collection,T1565,2,4.325,4-24h,2023-11-05,21
81,2024-07-07 07:15:00,109,175,49,Exploitation,High,Open,30,4,2,4797.9,Internal,Waf,3,6.4,Execution,T1566,3,6.821,1-3d,2024-07-07,7
82,2024-03-21 22:01:00,83,335,25,Ransomware,Medium,Closed,3,5,3,2814.73,Confidential,Ids,1,3.7,Privilege Escalation,T1041,2,1.899,<4h,2024-03-21,22
83,2024-11-12 15:57:00,64,140,35,Malware,Medium,Closed,3,2,9,1977.66,Internal,Waf,4,7.6,Collection,T1566,2,5.665,<4h,2024-11-12,15
84,2025-03-25 22:21:00,115,590,50,Unknown,High,Closed,31,2,12,8703.58,Internal,Email Gateway,3,5.2,Execution,T1565,3,6.322,1-3d,2025-03-25,22
85,2023-12-18 12:58:00,196,576,28,Malware,Critical,In Progress,4,4,6,5514.94,Confidential,Siem,4,6.0,Privilege Escalation,T1041,4,10.3,<4h,2023-12-18,12
86,2023-04-29 09:05:00,58,92,22,Phishing,Medium,Open,15,19,3,2300.96,Public,Waf,4,6.8,Exfiltration,T1078,2,5.408,4-24h,2023-04-29,9
